act_n,dist_rank,genre_rank,direct_rank,네이버_기대지수,star_buzz,movie_buzz_naver,google_trend,Target
109,4,13,67,13233.0,980,170,387.0,0
93,1,10,51,8071.0,1014,97,504.0,1
66,8,13,59,8894.0,1241,68,1561.0,1
3,8,10,67,167.0,55,5,297.0,1
55,8,11,54,1993.0,867,56,0.0,0
74,8,7,67,758.0,127,15,414.0,0
119,1,8,62,6176.0,1444,113,631.0,1
14,3,13,67,440.0,77,7,743.0,0
15,8,11,67,212.0,22,2,0.0,0
184,5,13,67,7290.0,1980,120,626.0,0
73,8,13,67,173.0,18,12,196.0,0
60,8,14,47,6385.0,974,64,651.0,0
99,3,7,67,7164.0,1064,63,367.0,1
209,2,13,17,8338.0,1500,102,1588.0,1
180,3,5,67,25803.0,1979,41,154.0,0
77,2,12,67,5696.0,766,34,653.0,0
56,3,13,67,1217.0,388,27,787.0,0
44,6,13,90,1267.0,334,21,1776.0,0
60,8,3,67,1791.0,1064,80,444.0,0
88,7,13,46,26181.0,1795,46,774.0,1
119,3,4,67,35317.0,2168,144,627.0,1
6,8,15,67,71.0,1,0,0.0,0
116,3,2,10,8809.0,1864,70,550.0,1
15,8,15,67,193.0,359,3,0.0,0
97,5,9,38,4785.0,630,53,0.0,1
89,3,5,67,71.0,2197,80,1930.0,1
88,6,8,43,6377.0,927,47,518.0,1
91,1,3,22,9811.0,1397,45,461.0,1
129,4,6,67,8363.0,1802,99,861.0,1
65,8,5,67,1309.0,16,14,160.0,0
4,8,15,67,123.0,42,6,100.0,0
38,8,11,67,4178.0,212,24,896.0,1
69,8,13,37,1700.0,895,31,931.0,1
56,8,15,67,109.0,3,13,0.0,0
27,8,13,67,554.0,38,13,680.0,1
57,8,9,80,362.0,37,8,150.0,0
46,8,10,67,713.0,155,12,626.0,1
20,8,15,67,823.0,1080,11,0.0,1
198,4,5,24,16419.0,1363,79,0.0,1
4,7,15,83,10237.0,301,31,0.0,1
27,8,10,67,242.0,36,9,0.0,0
74,3,7,67,3971.0,749,47,249.0,0
110,3,13,88,1663.0,394,24,520.0,1
116,1,13,7,45603.0,2053,127,371.0,1
63,6,10,67,946.0,120,12,291.0,0
176,3,3,67,12267.0,1323,47,397.0,1
40,4,13,48,7978.0,1309,8,1738.0,0
128,8,13,67,42.0,67,2,0.0,0
7,8,13,67,189.0,110,3,1920.0,0
103,5,7,67,2304.0,577,13,1990.0,0
57,6,13,91,204.0,170,2,669.0,0
69,1,8,67,254.0,1304,79,450.0,1
154,1,2,22,1314.0,1148,68,571.0,1
58,1,8,27,19537.0,1446,8,427.0,1
72,1,8,75,12491.0,330,10,863.0,0
36,3,3,67,15676.0,1010,0,440.0,1
222,4,13,11,7445.0,2430,15,0.0,1
52,8,13,96,298.0,57,4,0.0,0
83,8,8,74,3502.0,369,5,393.0,0
64,3,8,67,192.0,256,5,759.0,0
110,8,8,52,3249.0,365,5,612.0,0
61,3,8,67,4064.0,313,3,0.0,0
129,3,1,67,20285.0,1980,0,673.0,1
31,8,16,67,55.0,711,2,1637.0,0
112,8,8,67,92.0,156,3,0.0,0
50,4,5,6,5499.0,1592,10,621.0,0
95,3,13,67,20569.0,1954,11,374.0,0
11,8,8,67,2026.0,385,2,0.0,0
90,5,2,67,552.0,1592,39,338.0,0
60,8,3,67,585.0,210,3,0.0,0
128,2,13,39,0.0,1117,167,486.0,1
34,8,13,67,226.0,155,2,211.0,0
10,8,13,94,284.0,142,7,341.0,1
67,2,5,67,7337.0,811,9,671.0,1
9,9,15,67,83.0,86,2,195.0,0
162,3,3,33,589.0,2370,14,0.0,1
130,5,6,65,5051.0,1288,9,0.0,0
57,7,13,67,155.0,306,7,599.0,1
147,8,13,67,1312.0,188,3,981.0,0
187,6,2,64,0.0,895,2,746.0,0
113,4,8,67,3631.0,1493,8,1149.0,1
103,8,12,67,223.0,109,2,0.0,0
29,8,13,67,100.0,38,1,0.0,0
101,8,13,67,5618.0,739,21,963.0,1
46,2,13,81,1501.0,246,13,684.0,1
53,8,9,67,2544.0,496,6,410.0,1
13,4,1,60,9031.0,2329,19,0.0,0
29,6,9,90,1272.0,534,9,410.0,0
68,8,14,67,948.0,170,2,0.0,0
119,3,3,67,3182.0,935,11,0.0,1
64,8,13,67,263.0,175,2,0.0,0
19,3,7,67,6563.0,638,8,815.0,1
69,6,13,67,1549.0,638,27,0.0,0
146,6,14,67,212.0,133,6,683.0,0
45,2,13,56,346.0,986,27,519.0,1
28,8,12,100,238.0,149,4,0.0,0
7,8,8,67,176.0,77,1,0.0,0
60,8,7,67,3740.0,274,3,567.0,0
142,2,5,12,32567.0,1535,26,707.0,1
97,8,13,67,529.0,196,6,0.0,0
55,8,13,67,394.0,21,0,100.0,0
41,8,13,92,12.0,9,0,100.0,0
91,5,2,40,3310.0,895,12,714.0,0
102,6,13,9,2366.0,1358,17,593.0,0
24,8,13,67,66.0,53,1,0.0,0
80,4,13,63,7023.0,2550,11,501.0,1
114,4,13,87,149.0,334,3,1845.0,1
88,8,8,67,364.0,183,4,607.0,0
71,8,13,67,6242.0,726,5,506.0,1
4,2,15,67,418.0,259,6,0.0,0
269,8,3,67,1187.0,104,159,599.0,0
103,4,2,35,5663.0,838,19,0.0,1
95,3,13,67,25520.0,549,5,2077.0,1
11,3,9,67,1714.0,846,6,625.0,1
106,8,3,31,8614.0,1018,30,290.0,1
80,2,8,19,618.0,3150,31,0.0,1
22,8,15,99,31.0,22,0,0.0,0
153,8,13,67,1373.0,451,3,0.0,1
1,8,15,67,158.0,12,12,1413.0,1
105,4,13,67,217.0,677,16,628.0,0
70,8,3,67,3455.0,590,21,421.0,0
88,3,10,68,551.0,959,16,297.0,1
114,2,3,67,3962.0,702,43,448.0,0
135,4,4,67,4085.0,1165,126,923.0,0
117,2,13,12,4301.0,1470,31,544.0,0
67,8,3,67,1324.0,163,13,0.0,0
49,2,10,67,483.0,786,2,542.0,1
81,3,3,67,946.0,1201,22,1595.0,1
87,3,5,23,1598.0,1397,29,0.0,1
112,5,8,67,3484.0,1100,36,739.0,0
14,2,13,67,2516.0,1530,11,452.0,1
46,6,13,67,690.0,916,19,0.0,1
5,8,15,89,295.0,111,0,0.0,0
171,2,3,8,17679.0,1472,57,793.0,1
90,3,13,68,5381.0,861,13,1015.0,0
152,8,13,67,1312.0,1146,55,559.0,0
39,8,13,101,113.0,49,1,0.0,0
54,8,13,67,150.0,427,16,1142.0,0
