네이버_기대지수,star_buzz,Movie_Buzz,Target,act_n,dist_rank,genre_rank,direct_rank
54,1292,2333,1,77,2,3,31
0,45,10,0,56,9,8,13
0,123,478,0,5,3,10,78
0,2010,777,1,50,1,13,67
1420,828,938,1,49,3,13,67
0,86,171,0,12,8,7,67
12784,2210,1207,1,172,3,13,67
0,80,867,0,5,8,10,67
0,1558,904,1,148,3,13,10
0,190,548,0,52,9,14,67
0,1755,1153,1,182,8,13,29
0,23,201,0,24,8,8,67
0,2130,1123,1,84,2,13,11
0,818,761,0,116,4,13,67
0,164,822,1,98,3,5,67
0,524,1433,1,70,3,8,72
5465,1177,667,0,57,4,2,67
2224,180,1406,0,70,8,7,67
0,535,541,1,97,8,13,67
15,14,2,0,71,8,13,67
0,1184,654,0,126,1,5,67
0,245,1083,0,72,8,13,90
0,2070,773,1,75,1,5,1
60,0,10,0,25,8,15,67
0,311,446,0,37,4,8,60
0,49,8,0,54,8,13,67
5,1,1104,0,7,4,13,67
0,132,541,1,22,8,13,67
0,885,587,1,56,3,3,44
0,1174,549,1,109,2,3,67
0,1007,1078,1,62,2,10,67
0,1157,637,1,57,4,3,23
0,2670,990,1,44,3,12,3
0,85,570,1,56,7,13,67
0,881,606,1,87,4,4,40
0,338,539,1,64,1,7,25
0,1271,514,1,84,3,13,67
0,369,39,1,11,8,8,67
0,62,523,1,69,4,13,28
0,1230,837,0,36,3,13,67
744,750,678,1,16,1,11,67
9189,1083,600,1,101,1,13,61
0,1380,1090,1,34,3,12,27
0,456,0,0,8,1,5,67
0,1125,1108,1,43,1,8,67
0,55,590,0,6,8,13,67
0,865,1072,1,37,2,13,14
0,206,425,0,60,3,13,84
0,440,417,1,122,1,7,67
62978,3120,540,1,227,2,5,12
5953,1189,1054,1,96,3,3,49
4059,1427,485,1,60,3,10,67
4570,1216,618,1,191,4,2,41
7780,1656,1228,1,41,3,6,67
479,101,546,0,69,5,5,67
5113,916,707,1,71,3,7,67
13639,2010,890,1,83,3,2,2
4930,1576,717,1,94,5,8,53
8640,612,94,1,60,4,9,34
12198,2051,906,1,94,1,3,16
8746,2430,654,0,101,1,2,71
8499,1428,751,1,58,8,10,67
1262,372,689,0,46,8,13,67
223,114,503,0,27,8,13,67
46891,1065,653,1,149,1,3,67
301,104,288,0,17,8,13,67
9464,555,741,1,5,7,15,83
2717,1302,158,0,68,4,7,55
12459,1718,1039,0,168,3,2,63
252,74,424,0,33,8,13,67
31698,1800,2388,0,50,6,13,67
3298,805,344,0,79,8,5,67
3993,685,543,1,75,2,7,67
117,42,109,0,35,8,10,67
47687,882,456,1,243,8,13,64
3408,561,665,1,45,2,8,67
8397,1154,943,0,83,2,2,31
210,50,493,0,5,9,13,98
8002,904,842,1,42,5,13,40
20348,1973,658,1,167,4,2,35
101,12,101,0,20,9,15,67
30,1408,615,1,51,3,9,21
5658,755,519,1,42,3,7,67
119,12,7,0,3,8,13,67
8257,1703,875,0,142,2,13,36
6179,707,63,1,97,3,13,67
163,1859,1207,1,76,3,13,36
22459,2043,1307,1,120,1,2,40
6556,502,737,1,143,2,8,67
1727,345,582,1,58,3,13,67
39795,1101,1707,0,171,2,8,78
1407,260,561,0,18,8,14,67
17219,1050,960,1,179,2,6,67
194,82,395,0,36,8,13,67
81,34,4,0,21,8,15,67
6860,778,1008,1,49,6,13,67
5486,1604,1064,1,88,2,10,67
182,216,335,0,36,8,13,96
2734,996,883,1,64,8,5,67
1192,268,821,0,228,3,13,68
101,34,801,0,41,3,3,60
5046,809,607,0,58,6,13,67
614,247,741,0,37,8,13,81
12076,2040,1000,1,108,3,10,43
9952,2913,644,1,91,3,5,6
