,act_n,dist_rank,genre_rank,direct_rank,네이버_기대지수,star_buzz,movie_buzz_naver,google_trend,Target
235,114,2,3,67,3962.0,702,43,448.0,0
236,135,4,4,67,4085.0,1165,126,923.0,0
237,117,2,13,12,4301.0,1470,31,544.0,0
238,67,8,3,67,1324.0,163,13,0.0,0
239,49,2,10,67,483.0,786,2,542.0,1
240,81,3,3,67,946.0,1201,22,1595.0,0
241,87,3,5,23,1598.0,1397,29,0.0,0
242,112,5,8,67,3484.0,1100,36,739.0,0
243,14,2,13,67,2516.0,1530,11,452.0,0
244,46,6,13,67,690.0,916,19,0.0,1
245,5,8,15,89,295.0,111,0,0.0,0
246,171,2,3,8,17679.0,1472,57,793.0,1
247,90,3,13,68,5381.0,861,13,1015.0,0
248,152,8,13,67,1312.0,1146,55,559.0,0
249,39,8,13,101,113.0,49,1,0.0,0
250,54,8,13,67,150.0,427,16,1142.0,0
251,116,8,3,39,2434.0,791,7,477.0,0
252,22,5,13,57,5632.0,1035,20,783.0,0
253,93,4,13,36,484.0,1638,52,1334.0,0
254,117,3,8,67,868.0,771,39,0.0,0
255,59,3,5,18,9879.0,1912,86,748.0,1
256,17,8,15,89,145.0,179,7,542.0,0
257,34,8,13,67,150.0,54,5,0.0,0
258,77,6,13,67,264.0,161,5,510.0,0
259,66,8,13,67,585.0,282,6,1409.0,0
260,93,4,6,4,57304.0,3150,184,0.0,0
261,68,8,8,67,2648.0,640,26,496.0,0
262,156,2,5,11,5965.0,1164,0,407.0,0
263,26,2,9,67,7814.0,714,46,686.0,0
264,25,8,9,67,145.0,288,3,724.0,0
265,111,3,7,82,802.0,1028,25,778.0,0
266,117,4,9,24,754.0,1347,21,1113.0,0
267,156,8,13,67,2929.0,815,34,378.0,0
268,2,8,15,67,283.0,84,1,0.0,0
269,223,2,2,28,2468.0,2703,85,908.0,0
270,100,8,3,45,517.0,933,24,0.0,1
271,74,2,8,13,774.0,1476,38,2303.0,0
272,12,8,5,67,359.0,104,2,1182.0,0
