네이버_기대지수,star_buzz,movie_buzz_naver,Target,act_n,dist_rank,genre_rank,direct_rank
774.0,1476,38,1,74,2,8,13
359.0,104,2,0,12,8,5,67
3920.0,2790,66,0,90,3,13,3
293.0,1174,15,0,49,1,13,67
227.0,93,3,0,64,8,13,67
508.0,174,4,0,25,8,7,67
5690.0,1037,7,0,61,6,8,58
5095.0,1374,68,1,80,4,6,4
724.0,950,9,1,129,3,9,21
760.0,1071,24,1,69,3,8,38
57.0,20,2,0,11,8,13,67
3320.0,814,61,1,92,3,8,67
2637.0,1068,0,1,28,3,3,69
237.0,689,12,0,73,8,3,76
574.0,151,3,0,115,8,5,67
45099.0,21,85,1,38,3,15,67
3084.0,933,41,1,121,4,3,59
3259.0,561,43,0,101,8,13,45
24306.0,1890,108,1,120,4,3,50
42.0,85,3,0,56,8,13,67
25769.0,289,19,1,4,1,11,67
3042.0,514,6,0,17,3,9,70
163.0,310,4,0,40,8,5,67
2715.0,419,7,0,61,6,13,67
6376.0,177,2,0,11,8,11,67
4920.0,1051,6,1,74,3,3,67
155.0,856,6,0,92,2,3,73
6696.0,1631,5,1,96,5,8,66
7026.0,591,6,1,46,8,3,67
13930.0,1692,14,1,65,2,13,46
1218.0,638,5,0,80,4,13,67
20349.0,486,150,0,35,7,15,86
73.0,103,1,0,15,8,13,67
4647.0,940,43,1,128,1,13,67
901.0,323,4,0,14,8,8,67
202.0,182,5,0,127,3,13,67
10378.0,1622,16,1,102,1,13,16
308.0,295,3,0,60,8,13,67
466.0,557,13,1,63,4,13,67
383.0,1119,39,1,46,5,7,67
279.0,716,4,0,151,8,2,30
2185.0,1925,39,0,213,1,3,16
423.0,841,53,1,89,2,13,67
7106.0,889,7,1,71,3,9,67
2752.0,996,44,1,75,4,3,52
6378.0,2610,100,0,161,2,13,32
1079.0,1377,14,1,113,1,3,49
1050.0,1200,14,0,151,5,8,67
586.0,38,0,0,54,9,15,67
165.0,300,10,1,79,3,9,67
7921.0,1713,8,1,93,8,8,67
250.0,150,2,0,38,8,9,67
6730.0,1357,35,1,100,1,3,67
366.0,259,1,1,57,3,10,67
205.0,530,22,0,153,8,3,67
262.0,654,23,0,60,6,5,67
3832.0,808,14,0,47,6,10,67
126.0,466,7,1,33,6,7,67
3010.0,1047,6,0,151,7,13,67
1025.0,1172,38,0,90,5,13,40
68.0,94,0,0,15,8,13,98
2278.0,1837,28,1,170,1,3,67
1090.0,221,8,0,88,6,13,67
88.0,174,5,1,5,9,13,67
0.0,1251,131,1,57,3,10,57
0.0,547,83,1,41,8,7,67
0.0,679,62,1,74,4,8,67
0.0,2558,176,1,63,3,5,6
0.0,700,46,0,59,3,8,67
0.0,2,4,0,10,8,15,67
0.0,46,9,0,16,3,6,67
0.0,1423,429,1,87,8,5,67
0.0,397,61,1,18,8,8,67
0.0,272,86,1,155,8,13,64
0.0,53,2,0,9,8,13,67
0.0,630,33,1,22,4,11,67
0.0,464,62,1,28,2,8,67
0.0,770,42,0,50,2,5,67
0.0,991,72,1,69,8,9,67
0.0,752,142,1,44,3,3,67
0.0,2,4,0,4,8,13,67
0.0,1260,256,0,252,1,8,4
0.0,247,52,0,121,4,13,67
0.0,978,63,1,77,1,5,67
0.0,806,80,0,66,1,8,71
0.0,440,75,1,51,7,13,39
0.0,808,76,1,108,2,8,74
0.0,1380,132,1,74,2,8,30
0.0,821,184,1,81,1,5,42
0.0,532,90,1,63,4,13,65
0.0,1800,267,1,87,3,2,14
0.0,1383,171,1,108,3,13,27
0.0,938,77,1,33,3,11,67
0.0,308,9,0,8,8,13,67
0.0,1219,211,1,87,3,8,26
0.0,103,33,0,6,8,13,67
0.0,1186,240,1,82,3,13,36
0.0,94,12,1,42,8,13,93
0.0,1230,118,1,79,1,13,7
0.0,149,6,0,42,9,12,67
0.0,874,54,1,77,2,10,67
0.0,1288,151,1,85,4,2,2
0.0,374,37,0,58,8,13,77
0.0,258,41,0,52,8,10,67
0.0,237,73,0,7,4,13,61
0.0,14,2,0,55,8,13,67
0.0,1382,88,1,38,4,10,68
0.0,971,92,1,69,8,3,50
0.0,926,138,1,76,2,8,41
0.0,782,92,1,160,2,8,9
0.0,79,11,1,135,8,9,69
0.0,1954,168,1,61,2,10,67
0.0,221,44,1,21,2,13,81
0.0,537,43,1,42,4,7,54
0.0,283,2,1,87,4,11,67
0.0,1213,92,1,137,3,11,17
0.0,80,4,0,68,8,13,67
0.0,132,13,1,8,9,13,62
0.0,51,20,1,20,8,13,96
0.0,9,6,0,64,8,11,67
0.0,0,2,1,5,8,13,67
0.0,30,6,0,2,4,15,67
0.0,713,85,1,48,2,7,67
0.0,388,36,1,37,8,13,83
0.0,1035,132,1,82,1,8,67
0.0,136,8,1,16,8,7,67
0.0,933,124,1,48,4,10,55
54.0,1292,101,1,77,2,3,31
0.0,45,10,0,56,9,8,13
0.0,123,25,0,5,3,10,78
0.0,2010,154,1,50,1,13,67
1420.0,828,74,1,49,3,13,67
0.0,86,15,0,12,8,7,67
12784.0,2210,323,1,172,3,13,67
0.0,80,11,0,5,8,10,67
0.0,1558,305,1,148,3,13,10
0.0,190,24,0,52,9,14,67
0.0,1755,177,1,182,8,13,29
0.0,23,1,0,24,8,8,67
0.0,2130,299,1,84,2,13,11
0.0,818,54,0,116,4,13,67
0.0,164,38,1,98,3,5,67
0.0,524,57,1,70,3,8,72
5465.0,1177,175,0,57,4,2,67
2224.0,180,9,0,70,8,7,67
0.0,535,77,1,97,8,13,67
15.0,14,2,0,71,8,13,67
0.0,1184,102,0,126,1,5,67
0.0,245,25,0,72,8,13,90
0.0,2070,173,1,75,1,5,1
60.0,0,10,0,25,8,15,67
0.0,311,38,0,37,4,8,60
0.0,49,8,0,54,8,13,67
5.0,1,0,0,7,4,13,67
0.0,132,19,1,22,8,13,67
0.0,885,103,1,56,3,3,44
0.0,1174,107,1,109,2,3,67
0.0,1007,76,1,62,2,10,67
0.0,1157,223,1,57,4,3,23
0.0,2670,433,1,44,3,12,3
0.0,85,31,1,56,7,13,67
0.0,881,67,1,87,4,4,40
0.0,338,27,1,64,1,7,25
0.0,1271,64,1,84,3,13,67
0.0,369,39,1,11,8,8,67
0.0,62,29,1,69,4,13,28
0.0,1230,131,0,36,3,13,67
744.0,750,74,1,16,1,11,67
9189.0,1083,124,1,101,1,13,61
0.0,1380,210,1,34,3,12,27
0.0,456,0,0,8,1,5,67
0.0,1125,72,1,43,1,8,67
0.0,55,0,0,6,8,13,67
0.0,865,86,1,37,2,13,14
0.0,206,21,0,60,3,13,84
0.0,440,42,1,122,1,7,67
62978.0,3120,0,1,227,2,5,12
5953.0,1189,85,1,96,3,3,49
4059.0,1427,116,1,60,3,10,67
4570.0,1216,159,1,191,4,2,41
7780.0,1656,132,1,41,3,6,67
479.0,101,27,0,69,5,5,67
5113.0,916,92,1,71,3,7,67
13639.0,2010,339,1,83,3,2,2
4930.0,1576,172,1,94,5,8,53
8640.0,612,94,1,60,4,9,34
12198.0,2051,224,1,94,1,3,16
8746.0,2430,188,0,101,1,2,71
8499.0,1428,136,1,58,8,10,67
1262.0,372,60,0,46,8,13,67
223.0,114,7,0,27,8,13,67
46891.0,1065,157,1,149,1,3,67
301.0,104,17,0,17,8,13,67
9464.0,555,83,1,5,7,15,83
2717.0,1302,158,0,68,4,7,55
12459.0,1718,278,0,168,3,2,63
252.0,74,15,0,33,8,13,67
31698.0,1800,140,0,50,6,13,67
3298.0,805,0,0,79,8,5,67
3993.0,685,78,1,75,2,7,67
117.0,42,9,0,35,8,10,67
47687.0,882,0,1,243,8,13,64
3408.0,561,43,1,45,2,8,67
8397.0,1154,173,0,83,2,2,31
210.0,50,10,0,5,9,13,98
8002.0,904,79,1,42,5,13,40
20348.0,1973,195,1,167,4,2,35
101.0,12,1,0,20,9,15,67
30.0,1408,135,1,51,3,9,21
5658.0,755,55,1,42,3,7,67
119.0,12,7,0,3,8,13,67
8257.0,1703,160,0,142,2,13,36
6179.0,707,63,1,97,3,13,67
163.0,1859,148,1,76,3,13,36
22459.0,2043,209,1,120,1,2,40
6556.0,502,50,1,143,2,8,67
1727.0,345,57,1,58,3,13,67
39795.0,1101,198,0,171,2,8,78
1407.0,260,11,0,18,8,14,67
17219.0,1050,310,1,179,2,6,67
194.0,82,8,0,36,8,13,67
81.0,34,4,0,21,8,15,67
