screenCnt,audiAcc,act_n,dist_rank,genre_rank,등급_12세관람가,등급_12세이상관람가,등급_15세이상관람가,등급_전체관람가,등급_청소년관람불가,cont_rank
536,108780,2.0794415416798357,9,15,0,0,0,0,1,2
43,11887,1.791759469228055,71,11,0,1,0,0,0,2
65,26784,1.9459101490553132,52,13,0,0,1,0,0,27
155,12611,1.9459101490553132,40,8,0,0,0,1,0,6
923,359041,2.0794415416798357,4,4,0,1,0,0,0,2
71,2577,2.0794415416798357,42,11,0,0,0,1,0,6
1357,5063620,4.718498871295094,6,3,0,0,1,0,0,1
1601,2414062,2.3978952727983707,4,5,0,1,0,0,0,2
181,50545,3.7376696182833684,71,18,0,0,0,1,0,1
11,1000,1.0986122886681098,7,18,0,0,0,1,0,2
942,2044564,4.31748811353631,8,1,0,1,0,0,0,1
37,10487,2.0794415416798357,33,11,0,0,1,0,0,2
779,5602543,2.0794415416798357,6,10,0,0,1,0,0,1
1,60,1.791759469228055,86,4,0,0,1,0,0,5
1,5435,2.0794415416798357,99,5,0,0,0,1,0,2
5,164,1.9459101490553132,71,15,0,0,1,0,0,6
26,2490,5.147494476813453,37,11,0,1,0,0,0,1
564,102826,1.9459101490553132,7,15,0,0,1,0,0,2
1148,656492,2.302585092994046,4,4,0,1,0,0,0,2
292,13222,2.1972245773362196,32,8,0,0,0,1,0,15
1,18,1.9459101490553132,56,5,0,1,0,0,0,16
1,1,1.791759469228055,89,4,0,0,1,0,0,2
824,1011580,1.9459101490553132,4,15,0,0,1,0,0,2
126,12901,4.406719247264253,7,11,0,0,1,0,0,1
14,1882,1.6094379124341003,54,18,0,1,0,0,0,1
31,1959,2.995732273553991,58,11,0,1,0,0,0,1
1,1,2.833213344056216,84,4,0,0,0,0,1,1
53,9203,2.0794415416798357,33,3,0,0,0,0,1,2
46,12385,2.0794415416798357,29,11,0,0,1,0,0,2
3,216,2.0794415416798357,67,16,0,1,0,0,0,6
55,16933,1.9459101490553132,33,11,0,0,1,0,0,5
6,1150,1.791759469228055,38,8,0,0,1,0,0,6
1,2,1.791759469228055,89,4,0,0,1,0,0,2
39,3365,1.9459101490553132,42,7,0,0,0,1,0,11
119,10610,2.772588722239781,67,18,0,1,0,0,0,1
36,10907,1.0986122886681098,49,18,0,0,1,0,0,2
206,8011,1.9459101490553132,71,7,0,0,1,0,0,2
179,83474,2.1972245773362196,71,11,0,1,0,0,0,2
10,445,1.9459101490553132,71,4,0,0,1,0,0,20
97,5295,1.6094379124341003,8,8,0,1,0,0,0,6
317,18509,1.9459101490553132,39,8,0,0,0,1,0,16
156,21978,1.9459101490553132,71,11,0,1,0,0,0,2
114,11424,2.0794415416798357,29,13,0,0,1,0,0,2
53,30392,1.0986122886681098,37,18,0,0,0,1,0,11
213,240148,2.4849066497880004,71,7,0,0,1,0,0,2
24,1402,1.9459101490553132,52,11,0,0,1,0,0,6
207,16447,1.9459101490553132,39,8,0,0,0,1,0,25
150,64405,1.6094379124341003,24,8,0,0,0,1,0,19
135,8141,1.6094379124341003,67,13,0,0,1,0,0,16
1,1,1.0986122886681098,71,6,0,0,0,0,1,11
472,326086,2.1972245773362196,34,13,0,1,0,0,0,2
1972,5661128,2.5649493574615367,9,4,0,1,0,0,0,2
16,832,1.9459101490553132,62,13,0,0,0,0,1,6
262,36308,1.6094379124341003,36,8,0,0,0,1,0,16
136,14697,1.9459101490553132,19,13,0,0,1,0,0,2
5,76,1.6094379124341003,92,4,0,0,1,0,0,16
60,11596,1.9459101490553132,52,7,0,0,1,0,0,5
837,1335181,2.70805020110221,4,4,0,1,0,0,0,2
1,2,1.9459101490553132,71,7,0,1,0,0,0,1
588,183421,1.9459101490553132,12,8,0,0,0,1,0,6
215,9501,0.6931471805599453,32,8,0,0,0,1,0,15
1,1,1.6094379124341003,98,11,0,0,0,0,1,18
627,416303,5.272999558563747,7,1,0,1,0,0,0,1
5,319,1.3862943611198906,71,3,0,0,1,0,0,25
5,31,1.9459101490553132,99,11,0,0,1,0,0,6
135,24658,1.3862943611198906,33,8,0,0,0,1,0,7
98,14134,1.9459101490553132,29,11,0,0,1,0,0,2
5,37,1.6094379124341003,89,4,0,0,1,0,0,2
597,118612,1.791759469228055,12,8,0,0,0,1,0,5
194,25577,1.6094379124341003,32,8,0,0,0,1,0,16
1,1,1.3862943611198906,71,6,0,0,0,0,1,11
6,487,1.791759469228055,65,11,0,0,1,0,0,6
11,774,2.302585092994046,71,18,0,0,0,1,0,1
20,1813,1.9459101490553132,57,11,0,1,0,0,0,2
1,1,1.6094379124341003,91,11,0,0,0,0,1,11
6,170,3.4965075614664802,71,11,0,0,1,0,0,1
612,193484,2.8903717578961645,6,8,0,0,0,1,0,1
114,15942,1.9459101490553132,41,8,0,0,0,1,0,6
261,229542,2.0794415416798357,88,4,0,0,1,0,0,2
42,9966,1.6094379124341003,17,11,0,1,0,0,0,5
414,138705,1.6094379124341003,39,8,0,0,0,1,0,16
