screenCnt,Target,act_n,dist_rank,genre_rank,등급_12세관람가,등급_12세이상관람가,등급_15세이상관람가,등급_전체관람가,등급_청소년관람불가,cont_rank
126,11,4.406719247264253,7,11,0,0,1,0,0,1
14,11,1.6094379124341003,55,18,0,1,0,0,0,1
31,11,2.995732273553991,58,11,0,1,0,0,0,1
1,11,2.833213344056216,84,4,0,0,0,0,1,1
53,11,2.0794415416798357,34,3,0,0,0,0,1,2
46,11,2.0794415416798357,30,11,0,0,1,0,0,2
3,11,2.0794415416798357,67,16,0,1,0,0,0,6
55,11,1.9459101490553132,34,11,0,0,1,0,0,5
6,11,1.791759469228055,39,8,0,0,1,0,0,6
1,11,1.791759469228055,89,4,0,0,1,0,0,2
39,11,1.9459101490553132,43,7,0,0,0,1,0,11
119,11,2.772588722239781,67,18,0,1,0,0,0,1
36,11,1.0986122886681098,50,18,0,0,1,0,0,2
206,11,1.9459101490553132,71,7,0,0,1,0,0,2
179,11,2.1972245773362196,71,11,0,1,0,0,0,2
10,11,1.9459101490553132,71,4,0,0,1,0,0,20
97,11,1.6094379124341003,8,8,0,1,0,0,0,6
317,11,1.9459101490553132,40,8,0,0,0,1,0,16
156,11,1.9459101490553132,71,11,0,1,0,0,0,2
114,11,2.0794415416798357,30,13,0,0,1,0,0,2
53,11,1.0986122886681098,38,18,0,0,0,1,0,11
213,11,2.4849066497880004,71,7,0,0,1,0,0,2
24,11,1.9459101490553132,53,11,0,0,1,0,0,6
207,11,1.9459101490553132,40,8,0,0,0,1,0,25
150,11,1.6094379124341003,25,8,0,0,0,1,0,19
135,11,1.6094379124341003,67,13,0,0,1,0,0,16
1,11,1.0986122886681098,71,6,0,0,0,0,1,11
472,11,2.1972245773362196,35,13,0,1,0,0,0,2
1972,6,2.5649493574615367,9,4,0,1,0,0,0,2
16,11,1.9459101490553132,62,13,0,0,0,0,1,6
262,11,1.6094379124341003,37,8,0,0,0,1,0,16
136,11,1.9459101490553132,20,13,0,0,1,0,0,2
5,11,1.6094379124341003,92,4,0,0,1,0,0,16
60,11,1.9459101490553132,53,7,0,0,1,0,0,5
837,10,2.70805020110221,4,4,0,1,0,0,0,2
1,11,1.9459101490553132,71,7,0,1,0,0,0,1
588,11,1.9459101490553132,13,8,0,0,0,1,0,6
215,11,0.6931471805599453,33,8,0,0,0,1,0,15
1,11,1.6094379124341003,99,11,0,0,0,0,1,18
627,11,5.272999558563747,7,1,0,1,0,0,0,1
5,11,1.3862943611198906,71,3,0,0,1,0,0,25
5,11,1.9459101490553132,96,11,0,0,1,0,0,6
135,11,1.3862943611198906,34,8,0,0,0,1,0,7
98,11,1.9459101490553132,30,11,0,0,1,0,0,2
5,11,1.6094379124341003,89,4,0,0,1,0,0,2
597,11,1.791759469228055,13,8,0,0,0,1,0,5
194,11,1.6094379124341003,33,8,0,0,0,1,0,16
1,11,1.3862943611198906,71,6,0,0,0,0,1,11
6,11,1.791759469228055,65,11,0,0,1,0,0,6
11,11,2.302585092994046,71,18,0,0,0,1,0,1
20,11,1.9459101490553132,71,11,0,1,0,0,0,2
1,11,1.6094379124341003,91,11,0,0,0,0,1,11
6,11,3.4965075614664802,71,11,0,0,1,0,0,1
612,11,2.8903717578961645,6,8,0,0,0,1,0,1
114,11,1.9459101490553132,42,8,0,0,0,1,0,6
261,11,2.0794415416798357,88,4,0,0,1,0,0,2
42,11,1.6094379124341003,18,11,0,1,0,0,0,5
414,11,1.6094379124341003,40,8,0,0,0,1,0,16
235,11,1.9459101490553132,34,8,0,0,0,1,0,8
108,11,2.70805020110221,28,10,0,0,1,0,0,2
422,11,1.9459101490553132,34,15,0,0,1,0,0,2
569,11,1.9459101490553132,2,4,0,1,0,0,0,2
49,11,0.6931471805599453,51,18,0,0,0,1,0,6
