,title,directors,actors,genre,등급,국적,screenCnt,audiAcc,salesAcc,개봉일,제작비,네이버_기대지수,star_buzz,movie_buzz_naver,google_trend
133,인천상륙작전,이재한,"이정재, 이범수, 리암 니슨, 진세연, 박철민, 정준호, 김병옥, 김선아, 김영애, 박성웅, 정경순, 추성훈, 이원종, 길금성, 고윤, 성혁, 진용욱, 장준학, 김희진, 신수항, 존 그리스, 저스틴 러플, 션 리차드, 정민지, 김제열, 이충구, 나야, 박정원, 김기범, 양범, 이해준, 윤석진, 김중희, 윤다영, 김세정, 조원희, 송경철, 김중기, 이창세, 오종욱, 김윤호, 지재훈, 박일우, 김태영, 이우민, 신시아, 박상규, 함형기, 김진우, 홍기준, 신동길, 김소라, 한비, 김혜지, 황석하, 박하원, 곽순우, 박태주, 김정철, 지하윤, 지수빈, Josie Bissett, Karsen Henely, Andrew William Brand, Ron Roman, Matthew Dauma, Damien Furtado, Troy Mark Zitzelsberger, Daniel Kennedy, Schandall Peder Ericson, Matthew DArcy, Garan Fitzegrald, 김수인, 박현선, 김채원, 김민기, 최시우, 민건도, 이루안, 서기훈, 우도환, 김민석, 이동후, 박요셉, 나무송, 양호성, 박범진, 이재희, 강민종, 백인호, 차지훈, 정찬성, 심상윤, 김정민, 박상원, 윤수혁, 이한종, 이재우, 현정철, 하재우, 조이삼, 이유진, 김지아, 김예진, 심희진, 강천일, 김선권, 김재형, 백우궁, 김영근, 양희우, 성공, 조승환, 최예준, 고병진, 임훈열, 전현우, 최상준, 김경호",전쟁,12세이상관람가,한국,1049.0,7049643.0,55101410303.0,2016-07-27,17000000000.0,35317.0,2168,144,627.0
134,퍼스트 스텝,김규민,"김성민, 박상학, 강철호, 최정훈, 림일, 헨리송",다큐멘터리,12세이상관람가,한국,5.0,108.0,669000.0,2018-02-08,40000000.0,71.0,1,0,0.0
135,남한산성,황동혁,"이병헌, 김윤석, 박해일, 고수, 송영창, 박희순, 이다윗, 조아인, 허성태, 조우진, 김법래, 진선규, 김서현, 유순웅, 박지일, 김중기, 최종률, 문창길, 신기준, 박노식, 이장유, 장태민, 강현중, 한동원, 윤병희, 곽자형, 도용구, 성도현, 곽민호, 하수호, 윤세웅, 성규찬, 이상홍, 진모, 염상태, 전희련, 이원욱, 한창현, 송형수, 박재한, 한동훈, 이소연, 송욱경, 정선철, 광복동, 장정국, 김난희, 박지원, 강덕중, 백동현, 손정환, 하영, 박종범, 김민준, 정기욱, 이상운, 현진호, 변준필, 안치욱, 박진수, 손현준, 박주민, 최희도, 전지학, 양영일, 조남호, 허성우, 채재원, 김성하, 곽영웅, 설민영, 황진호, 박주운, 고창희, 서병철, 김문찬, 김정훈, 김진옥, 김동인, 안현정, 엄지만, 김양원, 권효민, 김교용, 임헌호, 최민국, 김유진, 김태형, 신희철, 김말구, 강두현, 유독현, 오승훈, 이정호, 성규찬, 황지환, 강민석, 이용원, 윤해빈, 김나인, 윤지명, 오숭율, 김현주, 김선호, 서양훈, 황주섭, 황종언, 김재복, 정희권, 권욱락, 김기태, 박선용, 전주호, 조현서, 이호중, 조이준",사극,15세이상관람가,한국,1229.0,3829891.0,31067321992.0,2017-10-03,15500000000.0,8809.0,1864,70,550.0
136,국정교과서 516일 : 끝나지 않은 역사전쟁,백승우,"한홍구, 박한용, 김민철, 이준식, 하일식, 이동기, 안병우, 한상권, 이동욱, 김태우, 장수진, 장희도, 이인터, 김민석, 이한수",다큐멘터리,12세이상관람가,한국,16.0,493.0,3255500.0,2017-11-23,30000000.0,193.0,359,3,0.0
137,미씽: 사라진 여자,이언희,"엄지원, 공효진, 서하늬, 김가률, 박해준, 김희원, 전석찬, 이성욱, 고준, 장원영, 김진구, 김지훈, 체리쉬 라미레즈, 길해연, 김선영, 이용이, 서은아, 박명신, 주민하, 백현우, 박찬홍, 홍성덕, 양종현, 우기홍, 황준원, 권범택, 강문경, 영건, 조성훈, 김창옥, 최유송, 장효진, 서혜진, 이봉구, 함성민, 유안, 김지훈, 장영, 김영미, 세율, 송민혁, 변진수, 김진욱, 김형근, 만달, 이동희, 김미정, 권방현, 염문경, 전병기, 주부진, 이도현, 박선주, 신담수, 김기호, 박지슬, 윤대열, 이미진, 천성복, 안해경, 천중현, 천가윤, 김규엽, 정혜선, 박슬기, 이세빈, 조혜리, 김예빈, 김유진, 권현수, 김해일, 지유정, 김용철, 강태수, 안재만, 서인덕, 백현익, 김성우, 김석태, 오창석, 김단비, 송채원, 황유미, 정아영, 한연주, 조성봉, 김광호, 김경애, 장유진, 이솔잎, 전진희, 조승연, 김진옥, 이현정, 임선민, 임영, 조달환",미스터리,15세이상관람가,한국,790.0,1153109.0,8881616256.0,2016-11-30,5000000000.0,4785.0,630,53,0.0
138,마스터,조의석,"이병헌, 강동원, 김우빈, 엄지원, 오달수, 진경, 정원중, 유연수, 조현철, 박해수, 우도환, 이순원, 배정남, 정수교, 김정우, 허형규, 주석태, 몬저 델 로사리오, 한창현, 김한종, 김원식, 최광제, 김재철, 장한별, 이도국, 우지이, 백송희, 송요셉, 최지은, 성혁, 김수현, 서진, 송영학, 홍성덕, 김진만, 권혁준, 김금순, 조은아, 오민정, 신정만, 박창희, 김은주, 이승용, 최윤빈, 김대현, 이동진, 장율, 한우열, 설주미, 조수정, BARNARD LAXA, IAN IGNACIO, LEO ARELLANO BARNARD LAXA, IAN IGNACIO, LEO ARELLANO, DIEGO SALVADOR, ALLEN YANTES, MELVIN MANALO, BANJO ROMERO, JM MARQUEZ, JOSEPH FRANCISCO, RYAN VARGARS, 노영주, 조용재, 강재은, 김태훈, 박상민, 김태응, 이주빈, 이희성, 박웅원, 김지한, 김성곤, 조현수, 이현수, 금강산, 이주영, 박인규, 김성현, 박아정, 노민아, 안지희, 오성현, 강지혜, 송경철, 이승민, 박서경, 박정자, 김병옥",액션,15세이상관람가,한국,1501.0,7150541.0,58067927865.0,2016-12-21,40416000000.0,71.0,2197,80,1930.0
139,아이 캔 스피크,김현석,"나문희, 이제훈, 박철민, 염혜란, 이상희, 이지훈, 정연주, 김소진, 김일웅, 성유빈, 최수인, 이재인, 이창직, 조완기, 이동희, 최용현, 황연희, 이동용, 김선경, 최지연, 이신성, 크레이크 스미스, 정연, 정원창, 이상원, 이소진, 조문경, 켄 피벤, 야나 구레바, 손경원, 김진욱, 임정선, 구민혁, 황대한, 송경의, 정원보, 손성찬, 김난희, 유광태, 이승민, 설창희, 양진규, 김건, 조현임, 안태영, 정태야, 안휘태, 이범규, 우상기, 김경덕, 이종화, 우지현, 테리스 브라운, 추연규, 송태은, 이철규, 김소연, 이영은, 옥주리, 이정현, 이용민, 류주현, 정지웅, 박준서, 조미초, 홍상원, 이수길, 최기상, 임원일, 조동희, 문진수, 박혜윤, 데니스 옌, 김동석, 하이디 숀, 마티 테리, 로라 포, 캐리 요시오 미조비, 조 나단 킹, 켄 루자더, 개리 무라카미, 민치 모라카미, 잭 할핀, 윌리엄 김, 루크 김, 손숙, 이대연, 김자영",코미디,12세이상관람가,한국,1140.0,3280243.0,25532214986.0,2017-09-21,3900000000.0,6377.0,927,47,518.0
140,살인자의 기억법,원신연,"설경구, 김남길, 설현, 오달수, 황석정, 정인겸, 신기준, 장진영, 신린아, 김혜윤, 최유송, 김정영, 박광재, 김동희, 장정윤, 강동우, 이재익, 최혜정, 황인준, 형원, 김한준, 임세현, 이명하, 원풍연, 김재구, 박상운, 이새로미, 박경혜, 김신영, 김경민, 김지나, 정찬배, 김경재, 정동석, 엄지만, 김인숙, 원성준, 구태진, 이현명, 이승원, 백연정, 김지현, 박화영, 전동성, 김선영, 신연미, 인선애, 이용곤, 이태형, 김주헌, 박현익, 성창호, 옥주리, 이현석, 전승표, 김승영, 강희중, 한다경, 김진옥, 한지영, 오태은, 윤나현, 김동우, 정주희, 박근영, 유지현, 이종건, 김수연, 함연주, 김경호, 윤선용, 추동우, 김하늘, 박수정, 군산교회 목사님, 이글루, 순덕이, 두루미, 통통이, 몽룡이, 꽃순이, 울면, 순이, 도이, 피카소, 전북야생동물구조관리센터, 채국희, 길해연, 이병준, 김민재, 조재윤",범죄,15세이상관람가,한국,1064.0,2656694.0,21361479492.0,2017-09-06,6000000000.0,9811.0,1397,45,461.0
141,"당신, 거기 있어줄래요",홍지영,"김윤석, 변요한, 채서진, 김상호, 김호정, 안세하, 박혜수, 김선아, 윤진영, 이유미, 장리우, 조은아, 이호철, 최예윤, 정세형, 심완준, 노재훈, 허혜리, 김하윤, 김정원, 전준영, 윤승훈, 서지승, 김지태, 김승희, 김기태, 장범준, 민이솔, 김산, 민주홍, 류경미, 지한별, 이다희, 한한나, 임채영, 김이슬, 한서윤, 석아름, 성창호, 이안준, 강민태, 원태산, 배유리, 오승희, 김재경, 김제헌, 장영, 이호중, 최민혁, 황동희, 이아윤, 임지영, 마민희, 이수진, 김동인, 김준아, 남선우, 홍민혜, 백예현, 이민영, 이경재, 원종민, 박준호, 지인환, 최윤조, 우효제, 김동영, 최승순, 우상현, 원대한, 심규창, 김영진, 박태율, 김진희, 김현수, 한미라, 차영화, 차유찬, 김수연, 유하윤, 임예진, 성율, 성해, 정수영, 박민석, 정혜진, 안도현, 안정우, 양은정, 이연서, 이서율, 양희태, 양희진, 엄숙, 이우진, 정지원, 김민준, 김정원, 전준영, Pith, Khamloed Ramita, Ramita Khumlert, Shivrin Aleksei, Julien Ahenga, Naruecha Chaimaroeng, 김성령, 정인기, 김효진, 심은진, 김지영, 장광, 박희본, 김광규, 박길스, 썸머, 스프링, 페비, 마크, 셈바, 감자, 이크, 이브, 두리, 오석규, 김선간, 이상하, 박재선, 민주홍, 마민희",판타지,12세이상관람가,한국,767.0,1168625.0,9361133648.0,2016-12-14,5000000000.0,8363.0,1802,99,861.0
142,깡치,연정모,"손우혁, 박정수, 김태현, 김채근, 윤한민, 안재혁, 고현민, 권유진, 장현, 김소연, 김도윤, 류제현, 맹철영, 이효빈, 최종민, 김재원, 최현종, 김윤숙, 효천, 박대규, 박병욱, 광복동, 서하라, 신희, 안정균, 유광수, 이성준, 이종엽, 한강수, 전우재, 김진아, 김금순, 구인희, 김보현, 한창현, 조준, 이정현, 조민영, 강민철, 정화형, 김도환, 이유진, 박익준, 서덕인, 유인선, 이상경, 오민준, 오세하, 최성준, 박혁우, 김성우, 김진태, 배우민, 심형민, 편주호, 박상혁, 김민서, 한병호, 김재철, 표형진, 김영우, 천혁, 김상태, 박준모, 기태민",액션,청소년관람불가,한국,6.0,241.0,1572000.0,2016-09-08,80000000.0,1309.0,16,14,160.0
143,버블 패밀리,마민지,"노해숙, 마민지, 마풍락, 핑퐁",다큐멘터리,전체관람가,한국,13.0,1347.0,9564400.0,2018-12-20,95000000.0,123.0,42,6,100.0
144,혼숨,이두환,"류덕환, 조복래, 이수빈, 홍예은, 조석현, 조혜원, 정순원, 김광섭, 박윤호, 김원식, 김강일, 이규현, 김예원, 남태부, 신영규, 조권상, 이나현, 김가현, 배상돈, 노승환, 조은비, 정성일, 박형서, 이규섭, 한상일, 유혜민, 형진환, 깁정섭, 전지원, 장윤정, 한동희, 임예진, 김옥자, 송월, 한옥경, 한경철, 유경진, 문학진",공포(호러),15세이상관람가,한국,498.0,288016.0,2258422445.0,2016-10-26,75870000.0,4178.0,212,24,896.0
145,스플릿,최국희,"유지태, 이정현, 이다윗, 정성화, 권해효, 문영수, 김혜나, 장희웅, 양동탁, 금서, 정의갑, 조상기, 정찬우, 한국진, 엄지만, 조수정, 장혁진, 신성원, 김유리, 황대준, 김호준, 백현주, 박상필, 정승주, 정성완, 김주경, 오치운, 장서경, 조완기, 이동용, 이혜리, 정종열, 한철우, 전현숙, 이정주, 한연수, 이예림, 유준서, 원영숙, 정현수, 김채연, 조선묵, 이원서, 김영환, 손원락, 조영선, 신민수, 김혜인, 반하늬, 박서현, 윤수현, 김지은, 박하연, 최승, 김형준, 김영관, 박종수, 이상민, 이대규, 이영은, 김효미, 이지수, 박윤배, 박철민, 강충훈, 김하라, 김태훈, 정한빈, 정찬우",드라마,15세이상관람가,한국,702.0,757430.0,6097721539.0,2016-11-09,2600000000.0,1700.0,895,31,931.0
146,야근 대신 뜨개질,박소현,"이민혜, 이주희, 백진아, 바닥, 바다, 이목, 영, 맥심, 파랑새, 신지, 아배 od, 윰, 라울, 갈리, 별, 길치, 진, 지아, 나삐, 메이, 제룸, 망또, 루피, 메아리, 유니, 블루, 지유, 보라, 나윤, 날개, 변, 삐비, 운, 라임, 쮸, 콘, 미피, 삐오, 호시, 티거, 가지, 이니그마, 여느, 하늘, 완두콩, 랏차, 가재, 쟈기, 이어붙이는 자보 , 우리는 다시 강정의 코로 모여, 김민수, 백우현, 김영자, 광화문 농성장 연대자분들, 배트남 여행객분들, 권기선",다큐멘터리,12세이상관람가,한국,10.0,1128.0,7915500.0,2016-11-17,95000000.0,109.0,3,13,0.0
147,산상수훈,대해스님,"백서빈, 최이선, 정수경, 오경원, 탁우석, 박창준, 최현우, 설준수, 안순동, 유재희, 주성원, 박주현, 안혁, 조영민, 한상준, 권일심, 김경민, 김준한, 김호근, 서우림, 오세영, 하성원, 허윤호, 김건우, 김동훈, 김찬우, 정준영",드라마,전체관람가,한국,71.0,54004.0,408105790.0,2017-12-07,25304000.0,554.0,38,13,680.0
148,나는 증인이다,안상훈,"양미, 루한, 왕징춘, 주아문, Liu Rui Lin, Li Xi Rui, LOVELY BOLY, Xu Ling Yue, Lou Yun Fei, Chai Wei, Cao Ying Rui, Yu Chun, Xiang Hong, Pan Xiao Xiang, Tang Xin, Cui Bao Yue, Zheng Yu, Qin Xiao Fei, Ma Xin Mo, Li Zhi Wen, Tian Chuan, Li Hua, Piao Yun, Du Jin Wei, Zhu Jian Ran, Cai Xin Yan, Fan Li Zhe, Ku Jin, Chen Li Sheng, Qu Jing Yu, Xing Xiao Le, Xiao Tian, Ya Jun, Xu Hui, Li Hao Ran, Yu Hai Chao, Si Bin, Jin Can Dong, Li Bing, Lv Hao Ran, Dong Xian, Shen Qin, Sun Pei Kai, Liang Ya Bin, Li Tian Liang, Yang Song, Zhang Yi Ming, Gong Ze, Lv Yong Wei, Cheng Hu, Yin Yi Jie, Zhang Jun, Wan Yu, Wang Qun, He Xuan, Yang Yuan Xi, Wanq Yu",미스터리,15세이상관람가,한국,2.0,1407.0,7113800.0,2016-09-14,6700000000.0,362.0,37,8,150.0
149,연애담,이현주,"이상희, 류선영, 박근록, 임성미, 김종수, 이지수, 박주환, 이다영, 한근섭, 이태리, 김시헌, 윤화경, 채유희, 김기범, 유우람, 차승호, 정아미, 장병기, 김한라, 김현숙, 배은하, 양익제, 윤덕준, 이현인, 조근하, 최선호, 김평기, 신동훈, 이성용, 방우리, 봉준영, 안주영, 이상학, 이우현, 김성환, 송승헌, 양진열, 나홍준, 박성우, 박예람, 이윤화, 이정곤, 진형민, 최윤태, 장혁진, 최선호",멜로/로맨스,청소년관람불가,한국,38.0,23555.0,191398100.0,2016-11-17,100000000.0,713.0,155,12,626.0
150,7년-그들이 없는 언론,김진혁,"강지웅, 권성민, 권석재, 노종면, 박성제, 박성호, 우장균, 이근행, 이상호, 이용마, 이정호, 이채훈, 정대균, 정영하, 정유신, 조상운, 조승호, 최승호, 황일송, 현덕수",다큐멘터리,12세이상관람가,한국,105.0,16577.0,129175200.0,2017-01-12,35000000.0,823.0,1080,11,0.0
151,청년경찰,김주환,"강하늘, 박서준, 성동일, 박하선, 정다은, 김영아, 한승윤, 신재민, 박상현, 김수정, 장석진, 오상준, 한도진, 박힘찬, 안성봉, 고준, 이호정, 배유람, 조준, 이승희, 하현수, 정예지, 김민송, 우상기, 이재웅, 김정섭, 이주원, 강현중, 한동희, 이도현, 이정수, 배효진, 홍준표, 최예찬, 임현철, 이다인, 이수인, 반소영, 이세희, 지찬, 권오수, 서지원, 김기범, 박재홍, 배인호, 최두원, 최원영, 유경수, 송승용, 김은경, 배한용, 고덕순, 최청자, 정의순, 육영수, 신안진, 유호한, 최요한, 김사란, 조현임, 김동인, 금강산, 오유진, 한지원, 이은샘, 이지은, 고주연, 윤다희, 이채원, 김유원, 한희규, 강민태, 김규백, 박시혁, 임종서, 장원진, 조홍우, 홍성오, 김나인, 이기창, 정칠용, 추국현, 영재민, 원태산, 연제혁, 박재규, 김지태, 신동진, 전금한, 서병덕, 서정규, 이경오, 이광섭, 유재희, 박세정, 천화성, 권유나, 김기탁, 이다령, 이은비, 김보람, 김수진, 김유진, 박서연, 박시아, 신정화, 정세현, 정신희, 조윤주, 서은지, 김하연, 박진형, 유세빈, 이다영, 양현진, 김동우, 최광원, 김세환, 박승호, 서정빈, 서정우, 신민규, 신재욱, 유인환, 이강재, 이규성, 이상민, 이우성, 정용화, 주하성, 진석진, 최지인, 허민강, 배현선, 김도휘, 곽민석, 김민우, 김민욱, 김병욱, 김성동, 김시원, 김요한, 김정환, 김정훈, 김종민, 김지한, 김찬영, 김형석, 박상민, 박정훈, 박태윤, 박현익, 배재민, 서영겸, 오윤건, 위도규, 윤홍일, 이마루, 이병도, 이선호, 이시호, 이욱진, 이웅규, 이원상, 이원희, 이하준, 이현일, 이효준, 임대현, 임우진, 임지형, 장용희, 전준영, 정동훈, 정이삭, 조성구, 조청원, 최승한, 하대용, 한재욱, 황재운, 김나현, 박정은, 정예지, 홍수진, 이수진, 권현우, 전준영, 정원중, 남문철, 이준혁, 김강현, 최홍일, 서정연, 찬성, 안수민, 변우석, 여욱환",액션,15세이상관람가,한국,1102.0,5636259.0,44241099316.0,2017-08-09,7000000000.0,16419.0,1363,79,0.0
